Tweets,isLiterary
@Danielmaran0 You can use a app that tells you who is not following you. I use unfollower stats.,False
"✨ Stolen Kiss

Deeznutstk would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/llDPeQ5vSy https://t.co/7dcTbshn7c",False
"“There are two different kinds of ninja. Those like you who are born with a natural talent &amp; do not have to work at it &amp; those like me! The ones who have to train everyday of our lives!” - Rock Lee 

New drip from @hypland 🥷🏽 https://t.co/T19o1BkAv8",False
"@thereidout @JRubinBlogger They have literally said they would prefer to die than compromise with Democrats. 

When someone shows you who they are, believe them.",False
"✨ Stolen Kiss

KR1SHIEIJI would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/FRXFT3os5H https://t.co/l2YzeGFk08",False
"Annie, Jesus said come to Me all you who are heavy laden ( depressed) and I will give you rest. Lay your burdens on Him, He loves you because you are His precious child. God give you peace! https://t.co/fgWjORb51y",False
"unlike you, who have to go through 'Marriage' to acquire his last name, i will obtain his last name by slaying him on the top of a mountain and taking it for my own",False
"I just realized something... if you live with a roommate who keeps letting some asshole live with you who keeps stealing from him and moving back in over and over, you can basically steal whatever you want. Everything in the house now belongs to you.",False
"@RWMaloneMD We are living in sad times, but thank God we have scientist like you who stand behind their convictions!",False
"So, it is you who opens the last door? 
No bridge can span the chasm that is between us! 
Look at me, Caim! You must never forget this face.",False
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year KAW4GAR1 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/gaqoUjszbP https://t.co/pVthwVvVKm",False
"@mixedracemagic @BritniDWrites @SincerelyTops So. Why do I get to gate keep an identity that had always included a wide range of skin tones?

Simply because YOU who admits or at least says you don't present as Black, believe anyone with mixed race should be excluded. https://t.co/vZIeAGMyCH",False
"@anoepiphany now ur saying that, ur really desperate to find ways to slander them. They will grow even more. Their growth isnt in a fast pace, but one day more people will recognize their talent and music. ig unlike you who's jobless with no life",False
"This from the man who tells you who you can have in your own home. 
Another rules for thee but not for me ruler right here. https://t.co/4KkuFt7EZY",False
"@frame_vr No, it is you who blows our collective minds by creating such a powerful and easy to use tool. Thank you!",False
@caroljsroth It’s people like you who keep most of us on @twitter.,False
"✨ Stolen Kiss

Henry_Stickmin_ would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/qGrXzg94k2 https://t.co/Sge4QQScGz",False
@ratattatattata2 I think its you who ned a brain.. im literally trying to explain to you and giving you both sides of the story with those threads but just cant seem to read it 🤷‍♀️ im not gonna argue with someone who cant give me facts and points. Keep it up defending YD!! Goodluck tho,False
"@ActivateLearn Yes. And while it's galling to a lot of us, it must have an extra flavour for someone like you who did serve.",False
"Getting your COVID-19 vaccine isn’t just about keeping you healthy; it’s also about protecting everyone around you who could become very sick from COVID-19.

Get your vaccine: https://t.co/jFSppSuYCx. https://t.co/gxGV1DcSLk",False
"When someone shows you who they are, believe them the first time.",False
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year _Charles_Calvin 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/bEvpY2PdTA https://t.co/olE6nbFfgY",False
"@Sunshin00252093 @Hollywo30274033 @molejoels14 @MaajidNawaz Don’t forget to fight for the freedom of the nurses and doctors you expect to care for you, who will be exposed to high viral loads of COVID every day. For Australian healthcare workers, their struggle may only just be beginning if we don’t get high vaccination rates.",False
"@Boboog1 It’s called brotherly love, if I nor care fr you who will?",False
@patriottakes Well he can ride a bike &amp; run unlike you who couldn’t even walk down a ramp,False
